label,conductor,rank,torsion,cm,p,a_p,point_count,N_M
11.a1,11,0,Z/5Z,0,2,-2,5,0
11.a1,11,0,Z/5Z,0,3,-1,5,0
11.a1,11,0,Z/5Z,0,5,1,5,1
11.a1,11,0,Z/5Z,0,7,-2,10,0
11.a1,11,0,Z/5Z,0,13,4,10,0
11.a1,11,0,Z/5Z,0,17,-2,20,0
11.a1,11,0,Z/5Z,0,19,0,20,0
11.a1,11,0,Z/5Z,0,23,-1,25,0
11.a1,11,0,Z/5Z,0,29,0,30,0
11.a1,11,0,Z/5Z,0,31,7,25,0
11.a1,11,0,Z/5Z,0,37,3,35,0
11.a1,11,0,Z/5Z,0,41,-8,50,0
11.a1,11,0,Z/5Z,0,43,-6,50,0
11.a1,11,0,Z/5Z,0,47,8,40,0
11.a2,11,0,trivial,0,2,-2,5,0
11.a2,11,0,trivial,0,3,-1,5,0
11.a2,11,0,trivial,0,5,1,5,1
11.a2,11,0,trivial,0,7,-2,10,0
11.a2,11,0,trivial,0,13,4,10,0
11.a2,11,0,trivial,0,17,-2,20,0
11.a2,11,0,trivial,0,19,0,20,0
11.a2,11,0,trivial,0,23,-1,25,0
11.a2,11,0,trivial,0,29,0,30,0
11.a2,11,0,trivial,0,31,7,25,0
11.a2,11,0,trivial,0,37,3,35,0
11.a2,11,0,trivial,0,41,-8,50,0
11.a2,11,0,trivial,0,43,-6,50,0
11.a2,11,0,trivial,0,47,8,40,0
11.a3,11,0,trivial,0,2,-2,5,0
11.a3,11,0,trivial,0,3,-1,5,0
11.a3,11,0,trivial,0,5,1,5,1
11.a3,11,0,trivial,0,7,-2,10,0
11.a3,11,0,trivial,0,13,4,10,0
11.a3,11,0,trivial,0,17,-2,20,0
11.a3,11,0,trivial,0,19,0,20,0
11.a3,11,0,trivial,0,23,-1,25,0
11.a3,11,0,trivial,0,29,0,30,0
11.a3,11,0,trivial,0,31,7,25,0
11.a3,11,0,trivial,0,37,3,35,0
11.a3,11,0,trivial,0,41,-8,50,0
11.a3,11,0,trivial,0,43,-6,50,0
11.a3,11,0,trivial,0,47,8,40,0
14.a1,14,0,Z/6Z,0,3,-2,6,1
14.a1,14,0,Z/6Z,0,5,0,6,0
14.a1,14,0,Z/6Z,0,11,0,12,0
14.a1,14,0,Z/6Z,0,13,-4,18,0
14.a1,14,0,Z/6Z,0,17,6,12,0
14.a1,14,0,Z/6Z,0,19,2,18,0
14.a1,14,0,Z/6Z,0,23,0,24,0
14.a1,14,0,Z/6Z,0,29,-6,36,0
14.a1,14,0,Z/6Z,0,31,-4,36,0
14.a1,14,0,Z/6Z,0,37,2,36,0
14.a1,14,0,Z/6Z,0,41,6,36,0
14.a1,14,0,Z/6Z,0,43,8,36,0
14.a1,14,0,Z/6Z,0,47,-12,60,0
14.a2,14,0,Z/2Z,0,3,-2,6,1
14.a2,14,0,Z/2Z,0,5,0,6,0
14.a2,14,0,Z/2Z,0,11,0,12,0
14.a2,14,0,Z/2Z,0,13,-4,18,0
14.a2,14,0,Z/2Z,0,17,6,12,0
14.a2,14,0,Z/2Z,0,19,2,18,0
14.a2,14,0,Z/2Z,0,23,0,24,0
14.a2,14,0,Z/2Z,0,29,-6,36,0
14.a2,14,0,Z/2Z,0,31,-4,36,0
14.a2,14,0,Z/2Z,0,37,2,36,0
14.a2,14,0,Z/2Z,0,41,6,36,0
14.a2,14,0,Z/2Z,0,43,8,36,0
14.a2,14,0,Z/2Z,0,47,-12,60,0
