c2,c1,c0,disc_F,sqrt_disc_F,is_square
-1,-13,23,148,12.1655,False
-1,-15,28,229,15.1327,False
-1,-10,-9,257,16.0312,False
-1,-4,2,316,17.7764,False
-1,-6,-3,321,17.9165,False
-1,-7,9,404,20.0998,False
-1,-7,-4,469,21.6564,False
-1,-8,11,473,21.7486,False
-1,-5,3,564,23.7487,False
-1,-6,-2,568,23.8328,False
-1,-9,13,592,24.3311,False
0,-18,-29,621,24.9199,False
-1,-14,25,697,26.4008,False
-1,-7,8,733,27.0740,False
0,-6,-2,756,27.4955,False
-1,-6,-1,761,27.5862,False
-1,-10,15,785,28.0179,False
-1,-7,-3,788,28.0713,False
0,-12,-15,837,28.9310,False
-1,-8,10,892,29.8664,False
-1,-6,4,916,30.2655,False
0,-7,-4,940,30.6594,False
-1,-6,1,985,31.3847,False
-1,-6,3,993,31.5119,False
