disc,poly_a,poly_b,poly_c,gram_a,gram_b,gram_c,gram_d,red_a,red_b,red_c,bqf_disc,n_classes,D_resolvent,f_artin,gcd,prim_a,prim_b,prim_c
148,-3,-1,1,8,2,2,56,8,4,56,-1776,32,37,2,4,2,1,14
229,-4,0,1,8,-1,-1,86,8,-2,86,-2748,24,229,1,2,4,-1,43
257,-3,-2,1,10,-3,-3,78,10,-6,78,-3084,24,257,1,2,5,-3,39
316,-2,-3,2,14,-2,-2,68,14,-4,68,-3792,36,316,1,2,7,-2,34
321,-4,-1,1,18,-3,-3,54,18,-6,54,-3852,36,321,1,6,3,-1,9
404,-4,0,2,16,-2,-2,76,16,-4,76,-4848,40,101,2,4,4,-1,19
469,-4,-2,1,26,7,7,56,26,14,56,-5628,48,469,1,2,13,7,28
473,-5,0,1,10,1,1,142,10,2,142,-5676,48,473,1,2,5,1,71
564,-2,-4,2,36,6,6,48,36,12,48,-6768,60,141,2,12,3,1,4
568,-4,-1,2,20,4,4,86,20,8,86,-6816,72,568,1,2,10,4,43
592,-5,-1,1,32,4,4,56,32,8,56,-7104,64,37,4,8,4,1,7
697,-4,-3,1,14,3,3,150,14,6,150,-8364,48,697,1,2,7,3,75
733,-5,1,2,20,1,1,110,20,2,110,-8796,72,733,1,2,10,1,55
761,-1,-6,-1,22,-7,-7,106,22,-14,106,-9132,24,761,1,2,11,-7,53
785,-5,-2,1,34,-5,-5,70,34,-10,70,-9420,48,785,1,2,17,-5,35
788,-4,-2,2,40,-14,-14,64,40,-28,64,-9456,88,197,2,4,10,-7,16
892,-5,0,2,20,2,2,134,20,4,134,-10704,36,892,1,2,10,2,67
916,-2,-5,2,32,-2,-2,86,32,-4,86,-10992,48,229,2,2,16,-2,43
940,-3,-4,2,14,-6,-6,204,14,-12,204,-11280,72,940,1,2,7,-6,102
985,-1,-6,1,26,-3,-3,114,26,-6,114,-11820,48,985,1,2,13,-3,57
993,-2,-5,3,30,-9,-9,102,30,-18,102,-11916,60,993,1,6,5,-3,17
1016,-1,-6,2,28,-12,-12,114,28,-24,114,-12192,36,1016,1,2,14,-12,57
1076,-5,-3,1,16,6,6,204,16,12,204,-12912,56,269,2,4,4,3,51
1101,-5,-1,2,48,-21,-21,78,48,-42,78,-13212,90,1101,1,6,8,-7,13
1129,-3,-4,3,14,-1,-1,242,14,-2,242,-13548,48,1129,1,2,7,-1,121
1229,-2,-6,1,28,3,3,132,28,6,132,-14748,84,1229,1,2,14,3,66
1257,-5,0,3,30,3,3,126,30,6,126,-15084,108,1257,1,6,5,1,21
1264,-1,-7,-1,56,4,4,68,56,8,68,-15168,84,316,2,4,14,2,17
1300,-3,-7,-1,20,10,10,200,20,20,200,-15600,80,13,10,20,1,1,10
1345,0,-7,-1,14,-5,-5,290,14,-10,290,-16140,48,1345,1,2,7,-5,145
1373,-3,-5,2,16,-3,-3,258,16,-6,258,-16476,108,1373,1,2,8,-3,129
1384,-5,-2,2,38,16,16,116,38,32,116,-16608,36,1384,1,2,19,16,58
1396,-2,-6,2,32,-6,-6,132,32,-12,132,-16752,64,349,2,4,8,-3,33
1425,-4,-3,3,30,-15,-15,150,30,30,150,-17100,100,57,5,30,1,1,5
1436,-3,-8,-2,22,-2,-2,196,22,-4,196,-17232,72,1436,1,2,11,-2,98
1489,-5,-4,1,38,13,13,122,38,26,122,-17868,48,1489,1,2,19,13,61
1492,-4,-4,2,44,10,10,104,44,20,104,-17904,128,373,2,4,11,5,26
1509,-2,-6,3,36,-15,-15,132,36,-30,132,-18108,126,1509,1,6,6,-5,22
1524,-1,-7,1,48,-6,-6,96,48,-12,96,-18288,100,381,2,12,4,-1,8
1556,-5,-1,3,64,-14,-14,76,64,-28,76,-18672,88,389,2,4,16,-7,19
1573,-1,-7,2,44,-11,-11,110,44,-22,110,-18876,88,13,11,22,2,-1,5
1616,-3,-5,3,16,4,4,304,16,8,304,-19392,80,101,4,8,2,1,38
1708,-1,-8,-2,38,-14,-14,140,38,-28,140,-20496,72,1708,1,2,19,-14,70
1765,-5,-3,2,26,-3,-3,204,26,-6,204,-21180,120,1765,1,2,13,-3,102
1825,-2,-7,1,50,-5,-5,110,50,-10,110,-21900,80,73,5,10,5,-1,11
1876,-3,-10,-4,26,-12,-12,222,26,-24,222,-22512,96,469,2,2,13,-12,111
1901,-4,-4,3,46,-1,-1,124,46,-2,124,-22812,108,1901,1,2,23,-1,62
1929,-5,-2,3,42,3,3,138,42,6,138,-23148,60,1929,1,6,7,1,23
1937,-1,-8,-1,46,-13,-13,130,46,-26,130,-23244,48,1937,1,2,23,-13,65
1940,0,-8,-2,16,2,2,364,16,4,364,-23280,112,485,2,4,4,1,91
1957,-5,-1,4,74,7,7,80,74,14,80,-23484,144,1957,1,2,37,7,40
